Product name,product url,product image link,product price
Murphy,https://www.glassesshop.com/eyeglasses/fp1747,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201807/5b5fc22b3b051.jpg",$39.95
Pete,https://www.glassesshop.com/eyeglasses/fz1209,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202008/5f4763af3bd0d.jpg",$29.95
Pete,https://www.glassesshop.com/eyeglasses/fz1208,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201807/5b4c5f5f9c486.jpg",$29.95
Jean,https://www.glassesshop.com/eyeglasses/fp1718,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201908/16051550_57408.jpg",$19.95
Jean,https://www.glassesshop.com/eyeglasses/fp1717,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201805/5b03bc697854e.jpg",$24.95
Lexingto,https://www.glassesshop.com/eyeglasses/fp1695,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201805/5b03be98b9a44.jpg",$19.95
Lexingto,https://www.glassesshop.com/eyeglasses/fp1694,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201805/5b03be9136d0a.jpg",$19.95
Isaiah,https://www.glassesshop.com/eyeglasses/fp1643,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202008/5f477541d4686.jpg",$19.95
Cooksville,https://www.glassesshop.com/eyeglasses/fp1568,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202005/5eb91ac577d32.jpg",$24.95
Mandy,https://www.glassesshop.com/eyeglasses/fz1090,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201710/59e01c540b457.jpg",$29.95
Mandy,https://www.glassesshop.com/eyeglasses/fz1089,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201710/59e01c4d1913a.jpg",$29.95
Mandy,https://www.glassesshop.com/eyeglasses/fz1087,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201710/59e01c3eef083.jpg",$29.95
Nicole,https://www.glassesshop.com/eyeglasses/fz1083,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201710/59e01c2125ecc.jpg",$29.95
Fresno,https://www.glassesshop.com/eyeglasses/fp2038,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202002/5e377f7359e9f.jpg",$12.95
Dominic,https://www.glassesshop.com/eyeglasses/fp2151,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202011/5f9faec48755c.jpg",$12.95
Amelia,https://www.glassesshop.com/eyeglasses/fm1553,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202102/603c4e4a0d67e.jpg",$34.95
Murphy,https://www.glassesshop.com/eyeglasses/fp1746,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201811/5bebc03874148.jpg",$39.95
Bruno,https://www.glassesshop.com/eyeglasses/fp1506,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201811/5bff5bf2665ef.jpg",$19.95
Amelia,https://www.glassesshop.com/eyeglasses/fm1469,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202010/5f9644eb210d4.jpg",$34.95
Milne,https://www.glassesshop.com/eyeglasses/fz1358,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201907/5d1dad7e89f35.jpg",$29.95
Poppy,https://www.glassesshop.com/eyeglasses/fz1573,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202010/5f990bbf9b1a9.jpg",$29.95
Hillsborough,https://www.glassesshop.com/eyeglasses/fp0989,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202101/5ff1555931a93.jpg",$19.95
Baldwin,https://www.glassesshop.com/eyeglasses/fp1618,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201805/5afe7d0fb721d.jpg",$19.95
Labrador,https://www.glassesshop.com/eyeglasses/fp1989,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201910/5d9ff9d6637d5.jpg",$12.95
Isaiah,https://www.glassesshop.com/eyeglasses/fp1644,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201805/5afe7e8b63818.jpg",$19.95
Abina,https://www.glassesshop.com/eyeglasses/fp1938,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202003/5e818f967c9ad.jpg",$19.95
Gabriel,https://www.glassesshop.com/eyeglasses/rm0296,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202011/5fa260ddd8b36.jpg",$19.95
Joplin,https://www.glassesshop.com/eyeglasses/fz1490,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202008/5f30c11599839.jpg",$24.95
Burke,https://www.glassesshop.com/eyeglasses/fm1245,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201805/5b0fae059e515.jpg",$24.95
Iowa,https://www.glassesshop.com/eyeglasses/fz1015,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201707/595c8637d2c9a.jpg",$29.95
Otis,https://www.glassesshop.com/eyeglasses/fp1742,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201807/5b4c4e30ec771.jpg",$9.95
Celeste,https://www.glassesshop.com/eyeglasses/fm1471,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202010/5f912e1787b16.jpg",$34.95
Leigh,https://www.glassesshop.com/eyeglasses/fz1368,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201907/5d268bd883d24.jpg",$12.95
Tiffen,https://www.glassesshop.com/eyeglasses/fp1443,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201711/59fd648f44910.jpg",$19.95
Libra,https://www.glassesshop.com/eyeglasses/fp2047,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202002/5e436927dcd1f.jpg",$24.95
Benjamin,https://www.glassesshop.com/eyeglasses/fm1466,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202007/5f23c550d52c8.jpg",$29.95
